image_id,psnr,ssim,time_seconds
000000325031.jpg,15.8347,0.7222,20.017
000000326128.jpg,16.889,0.7788,14.268
000000327769.jpg,15.516,0.6211,12.799
000000331075.jpg,20.3268,0.798,19.429
000000331604.jpg,24.9269,0.8582,12.371
000000333697.jpg,19.2038,0.7516,12.388
000000335529.jpg,9.6172,0.3594,14.619
000000336209.jpg,13.925,0.6243,12.785
000000337055.jpg,13.6234,0.5402,12.727
000000340272.jpg,8.6721,0.3895,10.084
000000341681.jpg,20.3486,0.7902,12.481
000000343803.jpg,19.4857,0.7886,12.332
000000343976.jpg,17.931,0.7598,7.905
000000344795.jpg,18.8306,0.6916,10.012
000000345397.jpg,16.7896,0.5754,8.246
000000346232.jpg,22.284,0.8713,12.458
000000346638.jpg,14.8423,0.5808,14.67
000000350054.jpg,20.8269,0.8271,7.955
000000350388.jpg,18.2874,0.6682,14.244
000000350833.jpg,16.2695,0.6267,15.182
000000354829.jpg,23.7678,0.8893,7.967
000000355325.jpg,15.6457,0.6549,14.393
000000358427.jpg,11.7877,0.3263,12.612
000000359219.jpg,13.9703,0.5154,14.971
000000359540.jpg,10.5944,0.4394,13.188
000000359833.jpg,21.6757,0.8818,14.703
000000360137.jpg,15.8694,0.6617,21.675
000000360325.jpg,23.8992,0.8939,12.673
000000361506.jpg,12.6956,0.4266,15.364
000000362434.jpg,19.03,0.7695,7.953
000000364102.jpg,24.6307,0.8624,11.576
000000364636.jpg,17.6261,0.7525,16.294
000000365098.jpg,10.7821,0.4671,12.677
000000369503.jpg,21.4339,0.816,7.718
000000374551.jpg,17.0536,0.6864,6.19
000000374727.jpg,14.1179,0.7109,12.201
000000376856.jpg,13.2247,0.5375,14.552
000000377239.jpg,18.3325,0.7869,12.408
000000377486.jpg,16.8126,0.7496,12.772
000000377575.jpg,14.1999,0.7181,12.882
000000377588.jpg,19.0747,0.8447,12.635
000000378284.jpg,18.6687,0.7663,12.758
000000378453.jpg,11.649,0.6375,7.639
000000379533.jpg,16.5876,0.7928,14.913
000000379842.jpg,13.633,0.5235,9.994
000000382009.jpg,21.3875,0.8322,12.551
000000383842.jpg,23.6676,0.922,12.75
000000384350.jpg,16.4202,0.6276,14.59
000000384651.jpg,16.7328,0.6018,13.554
000000385997.jpg,7.7186,0.2061,12.782
000000389316.jpg,14.8313,0.6785,10.503
000000389684.jpg,13.3911,0.6545,14.992
000000390301.jpg,9.7963,0.5284,8.111
000000393115.jpg,16.5686,0.7418,20.545
000000397354.jpg,15.8879,0.7062,14.733
000000397681.jpg,10.6721,0.5217,21.022
000000398810.jpg,17.0496,0.6741,11.599
000000400573.jpg,11.14,0.4532,14.951
000000400803.jpg,12.8259,0.5845,12.575
000000401250.jpg,18.1553,0.8361,9.16
000000401991.jpg,10.7666,0.3545,11.193
000000402096.jpg,18.618,0.7513,15.071
000000402346.jpg,12.864,0.4991,15.248
000000403565.jpg,9.79,0.45,13.583
000000405432.jpg,17.6564,0.8051,8.065
